w1 (rad/s),w2 (rad/s),w3 (rad/s),G3 (Pa),eta3 (Pa s3),J3 (Pa-3),phi3 (Pa-3 s-1),Subspace,"[R,G,B]"
6.4,-6.4,6.4,,,,,D,"[0.0, 0.0, 1.0]"
7.68,-6.4,6.4,,,,,C,"[0.0625, 2.7194799110210365e-16, 0.9375]"
11.52,-6.4,6.4,,,,,C,"[0.21052631578947364, 0.0, 0.7894736842105262]"
7.68,-6.4,7.68,(-24.269013696060565+11.773580572935721j),(0.031189337234856607+0.064290930684568j),(7.654589931096645e-06-7.954155029276397e-06j),(7.126922906231652e-05+6.858512578262593e-05j),B,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
11.52,-6.4,7.68,(-17.44528589867164+12.244385767077462j),(0.02162436338191114+0.030809483525791236j),(5.61697006708528e-06-6.4579650442805675e-06j),(8.266195256679126e-05+7.189721685869157e-05j),B,"[0.15, 0.09999999999999998, 0.75]"
11.52,-6.4,11.52,(-11.469830836260401+10.878770522266485j),(0.012808400050818462+0.013504300101316006j),(3.814264268738165e-06-4.961102179717957e-06j),(8.25527402705068e-05+6.346935743180307e-05j),B,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
6.4,-7.68,6.4,(-23.960588570912034-17.161296618743634j),(-0.054554292738417415+0.07616865975351979j),(1.2526336689212272e-05+4.4704352259716906e-07j),(-2.288862835697506e-06+6.413484384876684e-05j),D,"[0.0625, 2.7194799110210365e-16, 0.9375]"
7.68,-7.68,6.4,,,,,D,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
11.52,-7.68,6.4,(-19.690193836455634-1.950050861939628j),(-0.0034439137457735057+0.03477413360534886j),(7.73676873347829e-06-1.9508073454879976e-06j),(1.9976267217797094e-05+7.922451183081769e-05j),C,"[0.15, 0.09999999999999998, 0.75]"
7.68,-7.68,7.68,,,,,D,"[0.0, 0.0, 1.0]"
11.52,-7.68,7.68,,,,,C,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
11.52,-7.68,11.52,(-14.254417306473595+11.915698485089168j),(0.011691044863446916+0.013985670453210522j),(4.55379033974844e-06-5.700926764980734e-06j),(8.756623511010407e-05+6.994621961853604e-05j),B,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
6.4,-11.52,6.4,(-0.24892797954929005-19.75288558261036j),(-0.04186182145565957+0.0005275471571801292j),(1.1899855659666484e-05+4.007512975535043e-06j),(-5.12961660868486e-06+1.5231815244373113e-05j),D,"[0.21052631578947364, 0.0, 0.7894736842105262]"
7.68,-11.52,6.4,(-8.088464702644092-19.50826671568001j),(-0.03445283874879062+0.014284742677907756j),(9.377409025252897e-06+3.0800342435099002e-06j),(-7.884887663385346e-06+2.400616710464742e-05j),D,"[0.15, 0.09999999999999998, 0.75]"
11.52,-11.52,6.4,,,,,D,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
7.68,-11.52,7.68,(-12.820116026788156-18.76525187457746j),(-0.027617189434689448+0.018867616339654333j),(9.239508975118795e-06+2.951872218074268e-06j),(-1.133518931740519e-05+3.547971446445617e-05j),D,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
